id,vendor_id,duration,flex_time,buffer_post,active,sort_order,classification,created,updated
19732,2608,60,0,30,1,3,15,2022-05-19 16:49:36,2026-05-05 16:13:24
19742,2608,90,0,30,1,15,6,2022-05-19 16:49:36,2023-06-08 13:53:00
19807,1429,30,0,15,0,4,1,2022-06-20 19:14:27,2024-12-19 20:44:02
19839,2611,30,1,0,1,3,1,2022-07-06 20:26:03,2023-01-26 14:33:10
19959,2558,30,0,0,0,6,1,2022-09-16 22:55:11,2024-03-09 01:08:06
19979,2573,60,0,30,1,76,12,2022-10-05 18:53:30,2024-04-22 20:48:28
19980,2532,45,0,15,1,28,15,2022-10-05 22:37:14,2025-11-25 22:26:20
19984,2573,30,0,0,1,77,7,2022-10-07 16:24:14,2025-09-10 16:35:38
19989,2567,90,0,15,1,30,10,2022-10-12 17:58:16,2025-08-02 00:17:52
20022,2554,30,0,15,1,31,13,2022-10-21 12:22:44,2026-03-06 22:12:28
20032,2622,10,0,30,1,7,2,2022-10-24 16:03:57,2023-06-12 19:53:13
20033,2622,10,0,30,1,8,11,2022-10-24 16:03:57,2023-06-12 19:53:33
20043,2567,90,0,15,1,31,10,2022-10-24 20:56:34,2025-08-02 00:24:25
20064,2573,60,0,30,0,90,10,2022-11-05 16:01:51,2025-05-15 22:25:24
20066,2620,60,0,15,1,1,7,2022-11-07 15:35:13,2024-12-06 19:10:14
20094,2468,30,0,10,1,24,7,2022-11-22 21:11:02,2023-12-18 17:30:28
20120,2620,30,0,15,1,6,3,2023-01-10 22:08:54,2024-12-11 18:44:48
20130,2620,45,0,15,1,19,6,2023-01-27 01:42:42,2023-01-27 01:51:11
20163,2589,45,0,0,1,26,1,2023-02-15 23:19:20,2025-11-24 22:41:46
20167,2601,15,1,15,1,24,5,2023-02-16 16:05:29,2023-08-14 15:48:51
20198,2625,60,0,30,1,12,6,2023-02-28 18:37:39,2025-04-25 21:20:09
20200,2625,60,0,30,1,13,10,2023-02-28 18:37:39,2023-09-15 14:01:16
20226,2623,60,0,0,1,4,1,2023-03-13 21:04:35,2023-06-22 23:13:26
20227,2623,60,0,0,1,5,1,2023-03-13 21:04:35,2024-05-31 15:31:51
20249,2623,30,0,15,1,30,1,2023-03-13 21:04:36,2023-05-03 21:20:18
20251,2623,60,0,15,1,34,1,2023-03-13 21:04:36,2024-06-28 14:02:50
20268,2623,60,0,15,1,52,1,2023-03-13 21:04:38,2024-04-18 20:20:20
20270,2623,120,0,30,1,54,1,2023-03-13 21:04:38,2023-05-03 21:34:10
20279,2623,60,0,15,1,63,1,2023-03-13 21:04:39,2023-05-03 21:33:40
20310,2568,15,0,0,1,18,1,2023-03-14 18:25:07,2023-03-20 13:47:02
20313,2568,15,0,0,1,21,1,2023-03-14 18:28:39,2023-03-20 13:47:22
20322,2546,30,0,30,1,2,6,2023-03-17 18:25:36,2025-09-23 18:55:15
20324,2601,30,0,0,1,32,7,2023-03-20 18:33:45,2023-07-28 18:43:12
20344,2536,30,0,15,1,35,8,2023-03-28 13:41:47,2023-03-28 19:31:06
20384,2619,30,0,0,0,67,1,2023-04-19 16:32:06,2023-11-27 17:29:23
20401,2623,120,0,0,1,87,1,2023-04-24 14:40:54,2023-05-03 21:18:20
20405,2623,360,0,0,1,92,1,2023-04-24 14:43:03,2023-05-03 21:18:20
20407,2623,480,0,0,1,94,1,2023-04-24 14:43:43,2023-05-03 21:18:20
20413,2623,45,0,0,1,7,1,2023-04-25 15:42:58,2023-06-22 23:13:52
20432,2623,45,0,15,1,43,1,2023-05-01 20:45:10,2023-05-03 21:26:22
20460,2624,30,0,30,1,2,15,2023-05-29 14:38:50,2026-03-13 02:42:10
20464,2624,60,0,0,1,11,2,2023-05-29 14:38:51,2026-03-13 02:42:12
20468,2624,60,0,0,1,17,11,2023-05-29 14:38:51,2026-03-13 02:42:14
20469,2624,60,0,0,1,18,11,2023-05-29 14:38:51,2026-03-13 02:42:14
20472,2624,60,0,0,1,23,6,2023-05-29 14:38:51,2026-03-13 02:42:15
20474,2624,90,0,0,1,24,6,2023-05-29 14:38:51,2026-03-13 02:42:16
20477,2624,60,0,0,1,29,11,2023-05-29 14:38:51,2026-03-13 02:42:17
20481,2624,60,0,0,1,12,2,2023-05-29 14:38:51,2026-03-13 02:42:19
20483,2624,60,0,0,1,19,7,2023-05-29 14:38:52,2026-03-13 02:42:20
20520,2622,45,0,30,1,18,7,2023-07-12 16:31:48,2023-07-12 16:31:48
20523,2532,45,0,15,1,94,3,2023-07-13 17:00:03,2025-11-25 22:26:20
20553,2629,30,0,15,1,21,3,2023-07-29 23:20:54,2025-08-20 13:42:50
20556,2509,30,0,0,1,66,12,2023-07-31 17:47:12,2026-02-03 19:47:55
20571,2509,60,0,30,1,35,3,2023-08-10 20:39:41,2026-02-27 20:48:59
20577,2509,60,0,30,0,49,3,2023-08-11 19:05:07,2026-04-24 18:46:17
20601,2619,30,0,0,1,68,1,2023-08-18 22:44:59,2023-11-27 17:29:23
20606,2619,30,0,0,0,73,1,2023-08-18 22:47:23,2025-02-11 18:11:12
20624,2630,30,0,0,1,7,11,2023-08-29 21:44:11,2023-08-29 21:44:11
20625,2630,90,0,0,1,8,15,2023-08-29 21:44:11,2023-09-06 16:36:27
20626,2630,30,0,0,1,9,15,2023-08-29 21:44:12,2023-09-06 15:47:15
20646,2631,90,0,0,0,25,11,2023-08-31 15:09:12,2025-12-18 14:48:07
20657,2631,60,0,0,1,17,7,2023-08-31 15:09:13,2025-04-30 21:01:39
20662,2631,60,0,0,1,27,11,2023-08-31 15:09:13,2026-01-07 16:48:10
20663,2631,60,0,0,1,26,11,2023-08-31 15:09:13,2026-01-05 15:40:43
20668,2631,90,0,0,1,16,7,2023-08-31 15:09:13,2025-04-30 21:01:39
20684,2510,90,0,0,0,25,10,2023-09-01 23:37:37,2024-12-02 22:53:10
20697,2632,60,0,0,1,8,11,2023-09-07 01:14:13,2025-04-07 23:05:35
20739,2575,45,0,0,1,15,3,2023-09-22 23:03:48,2023-09-22 23:06:22
20760,2631,90,0,0,1,45,1,2023-10-05 15:33:33,2024-08-06 15:26:04
20771,2556,60,0,30,1,53,10,2023-10-11 18:36:17,2025-06-21 04:54:20
20789,2534,15,0,15,1,16,11,2023-10-23 17:32:36,2024-05-01 13:35:52
20808,2631,60,0,0,0,28,11,2023-11-03 18:11:46,2025-11-17 17:06:51
20832,2631,90,0,0,0,24,11,2023-11-21 17:31:59,2025-11-17 17:08:37
20863,2521,60,1,0,0,30,1,2023-12-07 19:29:45,2026-02-26 15:10:38
20864,2624,60,0,0,1,34,1,2023-12-08 02:45:16,2026-01-25 02:01:38
20865,2624,60,0,0,1,35,1,2023-12-08 02:46:33,2026-01-25 02:01:38
20867,2624,60,0,0,1,37,1,2023-12-08 02:49:08,2026-01-25 02:01:38
20869,2624,60,0,0,1,39,1,2023-12-08 02:51:44,2026-01-25 02:01:38
20913,1683,30,0,0,1,11,1,2024-01-08 20:05:40,2025-05-26 16:47:08
20929,2637,30,0,0,1,2,1,2024-01-18 18:42:24,2024-02-20 22:35:54
20941,2510,60,0,0,1,12,3,2024-01-23 19:46:58,2026-04-27 14:50:17
20960,2638,30,0,30,1,6,16,2024-02-08 21:30:12,2025-07-31 21:28:19
20991,2638,30,0,0,1,16,1,2024-02-15 21:03:55,2024-03-01 15:40:36
21016,2639,45,0,15,1,4,1,2024-03-04 06:59:29,2026-03-02 19:44:13
21022,2639,45,0,15,1,41,1,2024-03-04 06:59:30,2026-03-02 19:58:34
21024,2639,45,0,15,1,9,1,2024-03-04 06:59:30,2026-03-02 19:45:22
21033,2596,60,0,0,1,64,10,2024-03-04 19:13:36,2024-03-06 14:20:00
21043,2639,45,0,15,1,32,1,2024-03-12 21:45:51,2026-03-02 19:58:34
21101,2573,30,0,30,1,101,15,2024-05-08 18:35:45,2024-05-08 18:43:50
21169,2624,30,0,30,1,3,15,2024-06-03 01:23:07,2026-03-13 02:42:22
21177,2623,45,0,0,1,180,1,2024-06-05 18:45:34,2024-08-02 15:53:44
21216,2623,60,0,0,1,194,1,2024-07-22 16:19:26,2024-07-22 17:00:19
21251,2507,90,0,0,1,6,15,2024-08-08 21:42:23,2024-10-22 15:34:18
21287,2512,90,0,0,1,31,10,2024-09-12 18:33:36,2025-03-18 15:22:55
21291,2510,90,0,0,1,31,10,2024-09-12 18:42:00,2025-03-18 15:22:52
21301,2552,30,0,0,1,49,1,2024-09-19 17:28:49,2024-10-29 16:25:34
21320,2623,60,0,0,1,209,1,2024-10-01 21:09:04,2024-10-04 16:39:58
21324,2643,60,0,15,1,3,1,2024-10-02 20:28:02,2025-10-22 18:01:52
21328,2643,60,0,15,1,7,1,2024-10-02 20:28:02,2025-10-22 18:01:40
21331,2643,30,0,15,1,10,1,2024-10-02 20:28:02,2025-07-18 22:26:41
21334,2643,60,0,15,1,15,1,2024-10-02 20:28:03,2025-10-22 18:00:37
21369,2468,40,0,0,1,29,1,2024-10-15 19:38:12,2024-10-15 19:39:43
21370,2468,20,0,0,1,30,1,2024-10-15 19:40:57,2024-12-04 00:55:15
21383,2521,60,0,0,1,31,1,2024-10-18 18:33:53,2026-02-26 15:10:38
21388,2643,45,0,15,1,31,1,2024-10-23 18:10:03,2025-10-22 18:03:48
21396,2589,30,0,0,1,52,1,2024-10-31 20:29:03,2025-11-24 22:41:46
21455,2648,60,0,15,1,14,1,2024-12-17 14:43:16,2025-04-02 18:39:30
21465,2521,60,0,0,1,44,1,2024-12-19 22:10:02,2026-02-26 15:10:38
21549,2542,30,0,0,1,24,18,2025-01-30 18:37:10,2025-02-19 18:33:24
21597,2650,60,0,0,1,1,1,2025-03-14 16:24:20,2025-06-26 21:56:08
21601,2650,90,0,0,1,5,1,2025-03-14 16:24:21,2026-02-06 15:29:16
21605,2650,90,0,0,1,9,1,2025-03-14 16:24:21,2026-02-06 15:29:51
21609,2650,60,0,0,1,13,1,2025-03-14 16:24:21,2025-06-26 21:58:44
21701,2589,15,0,0,1,58,1,2025-04-23 19:08:53,2025-11-24 22:41:46
21738,2624,60,0,0,1,56,12,2025-05-09 02:20:40,2026-03-13 02:42:26
21774,2589,45,0,0,1,59,1,2025-06-02 17:57:13,2025-11-24 22:41:46
21814,2651,60,0,15,1,10,1,2025-06-16 17:19:30,2025-07-30 17:53:58
21817,2651,60,0,15,1,13,6,2025-06-16 17:21:45,2025-07-30 17:48:33
21833,2650,30,0,0,1,52,1,2025-06-26 22:00:50,2025-06-26 22:00:50
21878,2649,60,0,0,1,42,1,2025-08-08 15:32:40,2025-09-26 14:14:07
21929,2649,30,0,0,1,55,1,2025-09-26 14:14:08,2025-09-26 14:17:25
22045,2468,15,0,0,0,33,1,2026-01-13 21:14:00,2026-01-13 21:42:47
242,42,60,0,0,1,1,1,2011-09-20 12:45:23,2024-05-22 18:32:53
495,66,45,0,0,1,1,1,2011-10-24 13:33:01,2025-05-27 14:50:30
552,85,90,0,0,1,4,1,2011-11-21 20:04:38,2011-11-21 20:26:15
797,135,30,0,15,0,10,1,2012-01-21 07:52:07,2025-07-10 16:21:02
841,119,45,0,15,0,0,1,2012-01-30 09:33:11,2016-01-25 13:37:40
872,135,90,0,15,0,1,1,2012-02-05 07:30:04,2025-07-10 01:55:05
925,202,30,0,15,1,1,1,2012-02-28 15:09:59,2025-10-02 15:07:05
